Re_tau =   5522
U_tau =  0.1888 m/s
   nu =  1.54e-05 m^2/s
    R =  0.4500 m

   y [m]   U [m/s]  u' [m/s]
0.000615   1.26065   0.49299
0.000690   1.38420   0.51724
0.000774   1.51854   0.53960
0.000851   1.62604   0.55498
0.001203   1.98252   0.57452
0.002115   2.44568   0.55438
0.004358   2.83283   0.48220
0.010003   3.22292   0.45960
0.014684   3.41452   0.45575
0.016279   3.46166   0.45707
0.023672   3.65154   0.44695
0.030169   3.75673   0.44264
0.038463   3.90050   0.43361
0.049056   4.02682   0.41708
0.068101   4.18890   0.40402
0.090589   4.34968   0.38007
0.102334   4.42117   0.36732
0.130832   4.56294   0.34705
0.167291   4.70033   0.31997
0.214065   4.86024   0.28793
0.273974   5.02878   0.24851
0.350562   5.18767   0.19949
0.375573   5.21286   0.19055
0.400001   5.24418   0.17967
0.415435   5.25481   0.17541
