Re_tau =  31793
U_tau =  1.0952 m/s
   nu =  1.55e-05 m^2/s
    R =  0.4500 m

   y [m]   U [m/s]  u' [m/s]
0.000126   8.68610   3.16404
0.000140   9.24966   3.26789
0.000161  10.03214   3.37271
0.000183  10.74349   3.43807
0.000201  11.25336   3.47631
0.000244  12.12770   3.43394
0.000424  14.40394   3.14393
0.000921  16.59474   2.89828
0.002161  18.81875   2.88465
0.005362  21.36704   2.87614
0.006698  21.99631   2.85402
0.007857  22.43355   2.84236
0.009299  22.89754   2.79963
0.010917  23.29169   2.78255
0.012921  23.71702   2.74761
0.015207  24.18529   2.68408
0.017927  24.54652   2.65762
0.021171  25.13127   2.62437
0.024990  25.55044   2.59527
0.029480  25.92529   2.55093
0.034804  26.50036   2.47713
0.041083  26.82085   2.42977
0.048488  27.34912   2.39223
0.057267  27.74894   2.34252
0.067619  28.35762   2.25127
0.075121  28.60126   2.22965
0.082608  28.91767   2.16977
0.090120  29.21118   2.14541
0.130100  30.36179   1.95236
0.171717  31.34612   1.80760
0.213383  32.14962   1.65726
0.255103  32.70224   1.50665
0.296766  33.27516   1.36961
0.338455  33.71745   1.22740
0.379870  34.01730   1.10473
0.399571  34.16577   1.06990
0.407363  34.19596   1.04828
0.414754  34.22929   1.03238
