Re_tau =  21337
U_tau =  0.7518 m/s
   nu =  1.59e-05 m^2/s
    R =  0.4500 m

   y [m]   U [m/s]  u' [m/s]
0.000185   5.79720   2.23523
0.000206   6.22192   2.29491
0.000224   6.61037   2.34476
0.000247   6.98136   2.36738
0.000265   7.25420   2.38178
0.000308   7.86460   2.37160
0.000367   8.50892   2.32748
0.000442   9.07957   2.24630
0.000561   9.74162   2.13015
0.000730  10.31233   2.02802
0.000977  10.79239   1.95273
0.001350  11.36769   1.89747
0.001871  11.90263   1.91028
0.002626  12.46813   1.90446
0.003749  13.09882   1.90464
0.005403  13.79004   1.89981
0.007769  14.45262   1.88452
0.011256  15.17861   1.87085
0.016286  15.85282   1.84002
0.023704  16.65403   1.75584
0.034454  17.40000   1.66862
0.050162  18.10387   1.60975
0.067532  18.70020   1.52637
0.090093  19.31393   1.44111
0.130083  20.07837   1.33065
0.169919  20.62000   1.23072
0.210301  21.21691   1.14021
0.250022  21.81238   1.01271
0.290227  22.35652   0.96403
0.330153  22.77592   0.91798
0.369916  23.09805   0.87260
0.390278  23.21087   0.84780
0.400190  23.24285   0.82950
0.407169  23.22976   0.82519
0.415131  23.32029   0.82034
