Re_tau =  35061
U_tau =  1.2037 m/s
   nu =  1.54e-05 m^2/s
    R =  0.4500 m

   y [m]   U [m/s]  u' [m/s]
0.000143  11.09921   3.91924
0.000169  12.12418   3.96252
0.000179  12.32062   3.94366
0.000204  13.06377   3.93070
0.000221  13.37399   3.89836
0.000260  14.10561   3.77697
0.000317  15.04922   3.63768
0.000412  16.04156   3.45824
0.000533  16.83695   3.28805
0.000740  17.74345   3.18376
0.001022  18.60394   3.17485
0.001462  19.59973   3.17460
0.002086  20.60158   3.19593
0.003026  21.71395   3.21098
0.004461  22.92057   3.19731
0.006558  24.10748   3.14800
0.009712  25.34198   3.10399
0.014387  26.60295   3.00546
0.021331  27.81185   2.83189
0.031694  29.02612   2.75314
0.047137  30.26970   2.60181
0.070073  31.54491   2.46163
0.099996  32.72020   2.28895
0.129987  33.66814   2.14877
0.169849  34.63980   1.97946
0.210338  35.47497   1.83508
0.249957  36.20287   1.65325
0.290175  36.85149   1.51837
0.330173  37.53699   1.36758
0.369816  37.98629   1.23053
0.390251  38.20119   1.19190
0.400152  38.25805   1.16511
0.407156  38.32322   1.14765
0.415072  38.33793   1.14282
